,param,seed,alpha,df,asymmetry,straightness,gaussianity,efficiency,mod_int
290,0.1,580581,0.05,3.0,0.0365,0.0013,75.4873,0.0,0
291,0.1,582583,0.07,3.36,0.0296,0.002,62.5097,0.0,0
292,0.1,584585,0.23,3.22,0.0207,0.0023,61.5384,0.0,0
293,0.1,586587,0.17,3.19,0.0203,0.0032,60.6544,0.0,0
294,0.1,588589,0.22,3.19,0.018000000000000002,0.0024,74.4324,0.0,0
295,0.1,590591,0.11,3.15,0.0084,0.0021,68.9469,0.0,0
296,0.1,592593,-0.02,2.91,0.0032,0.0058,79.25399999999999,0.0,0
297,0.1,594595,-0.13,3.28,0.0617,0.0013,77.9526,0.0,0
298,0.1,596597,0.16,3.34,0.0264,0.0022,69.4078,0.0,0
299,0.1,598599,0.09,3.27,0.0076,0.0023,70.6081,0.0,0
300,0.1,600601,0.03,3.12,0.0551,0.0019,69.3717,0.0,0
301,0.1,602603,0.15,3.45,0.038,0.0021,78.9555,0.0,0
302,0.1,604605,0.17,3.16,0.036000000000000004,0.0014,85.1663,0.0,0
303,0.1,606607,0.21,3.34,0.0393,0.0019,77.947,0.0,0
304,0.1,608609,-0.03,3.27,0.0281,0.0008,57.6503,0.0,0
305,0.1,610611,-0.02,2.93,0.0264,0.0026,69.544,0.0,0
306,0.1,612613,-0.01,3.36,0.0013,0.0015,70.9107,0.0,0
307,0.1,614615,0.05,3.33,0.0039,0.0034,64.9728,0.0,0
308,0.1,616617,0.06,3.22,0.0313,0.0028,82.0119,0.0,0
309,0.1,618619,0.13,3.08,0.0021,0.0038,74.3427,0.0,0
310,0.1,620621,0.06,3.1,0.0189,0.0054,60.9373,0.0,0
311,0.1,622623,0.17,3.06,0.053,0.0011,61.2908,0.0,0
312,0.1,624625,0.07,3.08,0.0066,0.0016,63.2105,0.0,0
313,0.1,626627,-0.08,3.21,0.0407,0.002,69.3873,0.0,0
314,0.1,628629,0.1,3.07,0.0462,0.0021,77.3711,0.0,0
315,0.1,630631,0.11,3.18,0.0349,0.0013,60.1179,0.0,0
316,0.1,632633,0.08,3.3,0.0475,0.0035,66.1721,0.0,0
